2018/02/25 13:37:34 [error] 3767#0: *2 open() "/usr/share/nginx/html/Aceadmin/50x.html" failed (2: No such file or directory), client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:37:38 [error] 3767#0: *2 connect() failed (111: Connection refused) while connecting to upstream, client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:37:38 [error] 3767#0: *2 open() "/usr/share/nginx/html/Aceadmin/50x.html" failed (2: No such file or directory), client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:37:39 [error] 3767#0: *2 connect() failed (111: Connection refused) while connecting to upstream, client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:37:39 [error] 3767#0: *2 open() "/usr/share/nginx/html/Aceadmin/50x.html" failed (2: No such file or directory), client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:37:39 [error] 3767#0: *2 connect() failed (111: Connection refused) while connecting to upstream, client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:37:39 [error] 3767#0: *2 open() "/usr/share/nginx/html/Aceadmin/50x.html" failed (2: No such file or directory), client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:37:40 [error] 3767#0: *2 connect() failed (111: Connection refused) while connecting to upstream, client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:37:40 [error] 3767#0: *2 open() "/usr/share/nginx/html/Aceadmin/50x.html" failed (2: No such file or directory), client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:40:30 [error] 3865#0: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:40:30 [error] 3865#0: *1 open() "/usr/share/nginx/html/Aceadmin/50x.html" failed (2: No such file or directory), client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:43:45 [error] 3865#0: *4 connect() failed (111: Connection refused) while connecting to upstream, client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:43:45 [error] 3865#0: *4 open() "/usr/share/nginx/html/Aceadmin/50x.html" failed (2: No such file or directory), client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:43:46 [error] 3865#0: *4 connect() failed (111: Connection refused) while connecting to upstream, client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:43:46 [error] 3865#0: *4 open() "/usr/share/nginx/html/Aceadmin/50x.html" failed (2: No such file or directory), client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:43:47 [error] 3865#0: *4 connect() failed (111: Connection refused) while connecting to upstream, client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:43:47 [error] 3865#0: *4 open() "/usr/share/nginx/html/Aceadmin/50x.html" failed (2: No such file or directory), client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:43:47 [error] 3865#0: *4 connect() failed (111: Connection refused) while connecting to upstream, client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:43:47 [error] 3865#0: *4 open() "/usr/share/nginx/html/Aceadmin/50x.html" failed (2: No such file or directory), client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:43:47 [error] 3865#0: *4 connect() failed (111: Connection refused) while connecting to upstream, client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:43:47 [error] 3865#0: *4 open() "/usr/share/nginx/html/Aceadmin/50x.html" failed (2: No such file or directory), client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:43:47 [error] 3865#0: *4 connect() failed (111: Connection refused) while connecting to upstream, client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:43:47 [error] 3865#0: *4 open() "/usr/share/nginx/html/Aceadmin/50x.html" failed (2: No such file or directory), client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:43:48 [error] 3865#0: *4 connect() failed (111: Connection refused) while connecting to upstream, client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:43:48 [error] 3865#0: *4 open() "/usr/share/nginx/html/Aceadmin/50x.html" failed (2: No such file or directory), client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
2018/02/25 13:43:48 [error] 3865#0: *4 connect() failed (111: Connection refused) while connecting to upstream, client: 112.96.179.103, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "120.79.133.232"
